customer_id,transaction_id,transaction_amount,region,transaction_mode,transaction_date,is_fraudulent
599,cac2b20c-8032-4504-a1c9-2b460f3a156e,2562.99,Eastern Europe,Credit Card,2024-06-04 02:01:22,False
762,47ed7b05-4ee0-4b34-ada2-9d21194e0420,28481.05,Eastern Europe,UPI,2024-07-26 19:47:21,False
1534,680a7d85-ebda-4962-9d7a-8058a9ae368b,3139.43,East Asia,Credit Card,2024-02-02 22:39:50,False
1971,7a55a368-7e08-4eb1-8808-e4aaf5521d08,4568.02,Middle East,UPI,2025-01-25 05:24:26,False
1980,19e1f75e-f7a3-433c-b3db-4cf18cbb9a09,3349.26,Baltic States,Cryptocurrency,2024-04-28 13:11:09,False
83,b36a533a-35b1-4393-aca7-474181c2357d,251.57,South America,Bank Transfer,2024-03-07 07:20:20,False
477,9288329c-a983-4f63-9f28-014530f706f8,468.78,Middle East,Credit Card,2023-12-29 13:27:39,True
340,17ab148f-445b-458e-a006-5876a202437a,4452.63,South Asia,Bank Transfer,2024-02-19 09:21:35,False
1875,2c1e00de-10ef-4e5a-babf-65d9b0e990ec,1242.54,South America,UPI,2024-06-02 06:22:48,False
1594,78d971c5-f4c6-4acc-9ad5-a1f5b6b5b449,27180.61,North America,Mobile Wallet,2023-09-25 03:07:53,True
1766,2f9cc99e-8939-4874-a8da-d5729af70d4a,78.05,East Asia,Credit Card,2023-10-28 22:12:22,False
915,59e3c454-9201-498c-92b3-511b9d8e813b,1182.48,Sub-Saharan Africa,Debit Card,2024-04-28 07:54:07,False
978,3a7f2dd3-aba0-4857-8e2e-36846781f6b4,3980.19,East Asia,Bank Transfer,2025-01-01 07:47:26,False
701,f736e16c-8361-4d3b-88de-9fc7d1e609be,2154.47,Scandinavia,UPI,2024-12-24 11:59:17,False
1113,8aa8438a-96e5-4569-b3ec-43e7d61984e6,15608.98,Oceania,Mobile Wallet,2024-03-12 01:08:56,True
1271,e33f970f-26c4-4414-b198-37363be82644,575.05,North America,Cryptocurrency,2023-12-15 23:22:26,True
438,1974d681-98df-426e-8752-dcd124d22030,276.42,South Asia,Debit Card,2023-12-31 08:13:44,False
1210,c7c8fc84-9cf4-4797-9cd3-84d5344b17db,9072.96,Antarctica,Bank Transfer,2025-01-18 00:05:21,False
1081,0bfe2f9a-1093-4e1f-b183-9e55442884fa,4147.43,Baltic States,Credit Card,2023-08-28 17:56:50,False
1710,93e5e720-78a6-4d17-9cc5-f388de9d3d56,44051.12,North America,Online Banking,2025-01-10 00:33:41,False
527,e09394eb-74e2-47d1-933c-a41e6fb79a55,1414.91,East Asia,Cryptocurrency,2025-04-12 14:57:35,True
303,b960ae78-30ea-404d-89e8-c23d422e9a9b,3401.84,Balkans,Cryptocurrency,2023-10-13 07:57:04,True
1587,828280f0-bde0-4215-a198-9e5f6dbb57fa,1776.82,Southeast Asia,Bank Transfer,2023-10-06 22:10:42,False
1751,b1ae9a1c-f1f1-415f-8d8c-71914b7e7225,1569.35,Scandinavia,UPI,2024-03-28 00:13:19,False
1634,0102e6b5-b7c3-4873-a177-190a5ad709f5,792.8,Eastern Europe,Bank Transfer,2023-11-29 08:00:20,False
92,a5c45478-2190-45f5-b3c6-efcca6b1e1bf,3698.55,South Asia,Online Banking,2023-11-22 12:00:51,False
581,d7d650ce-2ee5-4ae7-8126-8853362b5c8e,210.28,Middle East,Online Banking,2025-06-25 11:46:50,False
1813,2017992c-827e-4574-a05d-5a84c2a632ef,1874.82,Eastern Europe,Cryptocurrency,2023-08-05 11:23:28,False
1488,b81ac182-6422-4727-954f-1e975ae6e910,32.1,Middle East,UPI,2024-09-24 03:51:24,False
686,0aca33d9-c421-42eb-a95e-95c41db8c961,2108.67,Middle East,Cryptocurrency,2024-01-08 12:52:45,True
