customer_id,transaction_id,transaction_amount,region,transaction_mode,is_fraudulent
00be6804-d3f4-4f55-9ea2-aff5eeed8e74,cdca4a79-64d2-437a-889b-1e5e710d7462,341.64,Middle East,Debit Card,True
2b83ba5a-6c4d-4fb9-a217-91175ce9d5c5,5d6c68ac-593d-4f8c-9695-5bde7874133d,97.23,Caribbean,Online Banking,False
62ce71f0-2468-4783-b98f-46c458317be7,f4524675-4cdd-4d76-a417-f44876f68f5a,195.16,Central Asia,Debit Card,False
bc9f3454-a2b3-450c-b2dc-a401bbf2c586,f949c07b-9596-4e95-aa83-6e4296e7fece,317.95,Scandinavia,Bank Transfer,False
35a4b934-7071-4719-9e09-dedd45ff674c,b2ea85cc-f9a5-4577-95d7-8773211430fd,307.06,Caribbean,Bank Transfer,False
a02998ff-29e2-425a-8f54-5372f0387534,d6e395ea-bbe3-4ceb-b5d9-d79682cd175b,15.71,Sub-Saharan Africa,Mobile Wallet,False
7e082a23-eaf5-4dae-a4fb-bb2b0fb9217d,33b0aade-3d43-4cab-91d7-11f5f09264ea,359.08,Central Asia,Cash,False
908cc925-951c-4676-85c2-480bfdae6959,83940b2d-aa6e-40d0-9494-13fdf2367f67,88.93,Baltic States,Cryptocurrency,False
694bf8c2-2311-48d0-ac5d-8555ac50b1ba,29aeaea2-3f06-4001-abde-6b3f069fd47d,483.2,South America,Bank Transfer,False
dbab9014-eb54-4966-8683-632f1a80e74e,972e051a-7cc4-4572-9f92-9d7c38371a82,492.11,Antarctica,Cash,False
bff2d7cc-4902-4a90-9925-9d73e4e7c9e1,ca28f8cc-e690-4a76-a97a-891f4e15a8b6,41.21,Oceania,Bank Transfer,False
dbe4786f-0981-49bc-ad67-b7cdb49c388a,5e31967b-0fb7-4982-83f4-19ae5773fe64,38.14,Antarctica,Debit Card,False
3f4915c3-c80d-40f2-86a1-1585a9db7d7a,8cdfe01c-7f96-4ac5-b8ec-6970b433b5b4,491.52,South America,Cryptocurrency,False
